iter	Logloss
0	0.6803374177
1	0.6683270111
2	0.6581568031
3	0.6501818264
4	0.6427582963
5	0.6342995115
6	0.628917066
7	0.6230663769
8	0.6182868244
9	0.6150357027
10	0.6120623926
11	0.6076541569
12	0.6060288617
13	0.6034189134
14	0.6005264511
15	0.5948872743
16	0.5924684605
17	0.5899797052
18	0.5878114199
19	0.5863116383
20	0.5846881606
21	0.5816218112
22	0.5804552233
23	0.5790772691
24	0.5780652047
25	0.5769803652
26	0.5760876187
27	0.5749648345
28	0.5733202907
29	0.5709438953
30	0.5695961197
31	0.5683502419
32	0.5666367768
33	0.5658310939
34	0.5650555969
35	0.5641773674
36	0.5633056407
37	0.5622665383
38	0.5614454014
39	0.5607554044
40	0.5595704879
41	0.558535965
42	0.5577690312
43	0.5565188636
44	0.5556933776
45	0.5549113837
46	0.5544501333
47	0.5531077118
48	0.552536363
49	0.5517830234
50	0.5505788753
51	0.5495592673
52	0.5470416274
53	0.546446837
54	0.5459779346
55	0.5453944225
56	0.5447522957
57	0.5423510169
58	0.5418152213
59	0.5409072848
60	0.5404126608
61	0.5393960453
62	0.538998869
63	0.538308772
64	0.5377266171
65	0.5372908387
66	0.5363842934
67	0.5356786578
68	0.5350451208
69	0.5344144534
70	0.5338382229
71	0.5333836029
72	0.5327779565
73	0.5321206877
74	0.5312276242
75	0.5304586113
76	0.5296786741
77	0.5292313258
78	0.5285351685
79	0.5275169132
80	0.5266936067
81	0.526144711
82	0.5255217458
83	0.5245767591
84	0.5238446286
85	0.5233899753
86	0.5229663761
87	0.5221698253
88	0.5213818558
89	0.5198568746
90	0.5192960046
91	0.5186043725
92	0.516606504
93	0.5159107486
94	0.5150205682
95	0.5144008359
96	0.5137112833
97	0.5131699558
98	0.512512858
99	0.5119640692
100	0.5109823136
101	0.5099026299
102	0.5091324148
103	0.5076115004
104	0.5068699684
105	0.5061189619
106	0.5054961151
107	0.5044389944
108	0.503706623
109	0.5029602819
110	0.5022867863
111	0.5012083762
112	0.5004017905
113	0.4994253105
114	0.4987890567
115	0.4983085585
116	0.4975413911
117	0.4965892204
118	0.4961085091
119	0.4954418646
120	0.494794869
121	0.4936034321
122	0.4929742883
123	0.4921617827
124	0.4913243626
125	0.4903775156
126	0.4896417858
127	0.4891759645
128	0.4885132042
129	0.4880612889
130	0.4870753805
131	0.4866003438
132	0.4859747693
133	0.4852359084
134	0.4846979892
135	0.4836390991
136	0.4825914417
137	0.4821512589
138	0.4815161168
139	0.48093682
140	0.4805010753
141	0.4798537569
142	0.4791405859
143	0.4786627755
144	0.4783310311
145	0.4778452201
146	0.4772832342
147	0.476296615
148	0.4759578179
149	0.4753608997
150	0.4744564961
151	0.4740124937
152	0.4735186824
153	0.4729246846
154	0.4725136153
155	0.4720558139
156	0.4713958768
157	0.4711060671
158	0.4700572555
159	0.4698542104
160	0.4693705466
161	0.4689825344
162	0.4686919081
163	0.4680909071
164	0.4677900772
165	0.4672276015
166	0.466702731
167	0.4663404586
168	0.4657507223
169	0.4653399296
170	0.4646350967
171	0.4642437137
172	0.4640503242
173	0.4632609614
174	0.4628356041
175	0.4623354496
176	0.4617335033
177	0.4612243094
178	0.4608785917
179	0.4601727081
180	0.4598387939
181	0.4590979186
182	0.458946427
183	0.4586943402
184	0.4582185852
185	0.4579346949
186	0.4572428309
187	0.4566874167
188	0.4565460724
189	0.4562837259
190	0.4550038882
191	0.4545337452
192	0.4541484126
193	0.4536487577
194	0.4528635786
195	0.4524092421
196	0.4518687103
197	0.4513122389
198	0.4507919919
199	0.4503591106
