iter	Passed	Remaining
0	3	730
1	6	691
2	10	663
3	13	651
4	16	642
5	19	632
6	22	626
7	25	622
8	29	619
9	32	615
10	35	614
11	39	613
12	42	610
13	45	607
14	48	603
15	52	600
16	55	598
17	58	594
18	62	591
19	65	589
20	68	586
21	72	583
22	75	580
23	78	578
24	82	574
25	85	570
26	88	566
27	91	563
28	94	559
29	98	555
30	101	552
31	104	548
32	107	544
33	110	540
34	114	537
35	117	533
36	120	530
37	123	527
38	127	524
39	130	520
40	133	517
41	136	514
42	139	510
43	143	507
44	146	503
45	149	500
46	152	496
47	155	493
48	159	490
49	162	487
50	165	483
51	168	480
52	172	477
53	175	473
54	178	470
55	181	467
56	185	464
57	189	462
58	192	459
59	195	456
60	198	453
61	202	450
62	205	447
63	208	443
64	212	440
65	215	437
66	218	433
67	221	430
68	224	427
69	228	423
70	231	420
71	234	417
72	237	413
73	241	410
74	244	407
75	247	403
76	250	400
77	254	397
78	257	394
79	260	391
80	263	387
81	267	384
82	270	381
83	273	377
84	277	374
85	280	371
86	283	368
87	286	364
88	289	361
89	292	357
90	295	354
91	298	350
92	302	347
93	305	344
94	308	340
95	311	337
96	314	333
97	317	330
98	320	327
99	323	323
100	326	320
101	330	317
102	333	313
103	336	310
104	339	306
105	342	303
106	345	300
107	348	296
108	351	293
109	354	290
110	358	287
111	361	283
112	364	280
113	367	277
114	370	273
115	373	270
116	376	267
117	379	263
118	382	260
119	386	257
120	389	254
121	392	250
122	395	247
123	398	244
124	402	241
125	405	238
126	409	235
127	412	231
128	415	228
129	418	225
130	421	222
131	424	218
132	427	215
133	430	212
134	433	208
135	436	205
136	439	202
137	443	199
138	446	195
139	449	192
140	452	189
141	455	186
142	458	182
143	461	179
144	464	176
145	467	173
146	470	169
147	474	166
148	477	163
149	480	160
150	483	156
151	486	153
152	490	150
153	493	147
154	496	144
155	499	140
156	502	137
157	505	134
158	508	131
159	511	127
160	514	124
161	518	121
162	521	118
163	524	115
164	527	111
165	530	108
166	533	105
167	536	102
168	539	98
169	542	95
170	546	92
171	549	89
172	552	86
173	555	82
174	558	79
175	561	76
176	564	73
177	567	70
178	570	66
179	573	63
180	576	60
181	579	57
182	582	54
183	586	50
184	589	47
185	592	44
186	595	41
187	599	38
188	602	35
189	605	31
190	608	28
191	611	25
192	614	22
193	617	19
194	620	15
195	623	12
196	626	9
197	629	6
198	632	3
199	635	0
